GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201401150074,2013-10-15,"Syria","Al-Bab","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,1,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Melee,Melee,Other,
201312310079,2013-12-31,"Iraq","Baghdad","Unknown",0,,,,,4,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310078,2013-12-31,"Mozambique","Muxungue","Mozambique National Resistance Movement (MNR)",0,,,,,0,2,Military,Private Citizens & Property,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
201312310073,2013-12-31,"Bangladesh","Dhaka","Unknown",0,,,,,0,7,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310071,2013-12-31,"India","Khaira","Maoists",0,,,,,0,0,Business,,,South Asia,Facility/Infrastructure Attack,,,Incendiary,Melee,,
201312310070,2013-12-31,"India","Kalia Atal","Maoists",0,,,,,0,0,Telecommunication,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310069,2013-12-31,"Afghanistan","Farah","Unknown",0,,,,,1,0,Police,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
201312310068,2013-12-29,"Thailand","Bangkok","Unknown",0,,,,,0,5,Private Citizens & Property,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310067,2013-12-31,"Philippines","Nabalawag","Bangsamoro Islamic Freedom Movement (BIFM)",0,,,,,Unknown,Unknown,Military,,,Southeast Asia,Unknown,,,Unknown,,,
201312310066,2013-12-31,"Philippines","Paidu Pulangi","Bangsamoro Islamic Freedom Movement (BIFM)",0,,,,,Unknown,1,Military,,,Southeast Asia,Armed Assault,,,Firearms,,,
201312310065,2013-12-31,"West Bank and Gaza Strip","Beit El","Israeli Extremists",0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
201312310063,2013-12-31,"Nigeria","Maikatako","Fulani Militants",1,,,,,2,16,Religious Figures/Institutions,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
201312310061,2013-12-30,"Afghanistan","Marjah district","Unknown",0,,,,,4,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310058,2013-12-31,"Iraq","Baghdad","Unknown",0,,,,,2,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310057,2013-12-31,"Iraq","Baghdad","Unknown",0,,,,,4,10,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201312310056,2013-12-31,"Central African Republic","Bangui","Anti-Balaka Militia",0,,,,,0,0,Military,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
201312310051,2013-12-31,"Italy","Naples","Unknown",0,,,,,0,1,Government (General),,,Western Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
