GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201502170099,2014-12-30,"Pakistan","Buner district","Unknown",0,3,Unknown,Police,South Asia,,,,Hostage Taking (Kidnapping),Unknown
201501310001,2014-12-31,"Philippines","Mlang","Bangsamoro Islamic Freedom Movement (BIFM)",0,,,,,2,32,Private Citizens & Property,,,Southeast Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201501270001,2014-12-27,"Afghanistan","Saberi district","Taliban",0,,,,,5,0,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310106,2014-12-31,"Indonesia","Lembah Napu","Mujahidin Indonesia Timur (MIT)",0,,,,,1,0,Private Citizens & Property,,,Southeast Asia,Hostage Taking (Kidnapping),,,Unknown,,,
201412310105,2014-12-31,"Algeria","Algiers","Unknown",0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310104,2014-12-30,"Yemen","Ash Shihr","Al-Qaida in the Arabian Peninsula (AQAP)",0,,,,,0,0,Police,Business,,Middle East & North Africa,Armed Assault,,,Firearms,,,
201412310103,2014-12-30,"Yemen","Ash Shihr","Al-Qaida in the Arabian Peninsula (AQAP)",0,,,,,0,0,Police,Business,,Middle East & North Africa,Armed Assault,,,Firearms,,,
201412310101,2014-12-31,"West Bank and Gaza Strip","Yatta","Israeli Settler",0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Facility/Infrastructure Attack,,,Incendiary,,,
201412310099,2014-12-31,"Ireland","Waterford","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201412310098,2014-12-31,"United Kingdom","Magherafelt","Unknown",0,,,,,0,0,Private Citizens & Property,,,Western Europe,Facility/Infrastructure Attack,,,Incendiary,,,
201412310097,2014-12-31,"Pakistan","Ghundi","Unknown",0,,,,,1,1,Military,,,South Asia,Unknown,,,Unknown,,,
201412310096,2014-12-30,"Afghanistan","Ghaziabad district","Unknown",0,,,,,2,1,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310095,2014-12-31,"Ukraine","Mykolayiv","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310094,2014-12-31,"Democratic Republic of the Congo","Dungu district","Lord's Resistance Army (LRA)",0,,,,,0,2,Private Citizens & Property,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
201412310093,2014-12-31,"Afghanistan","Unknown","Taliban",0,,,,,5,9,Private Citizens & Property,,,South Asia,Assassination,,,Firearms,,,
201412310091,2014-12-31,"Nigeria","Malari","Boko Haram",0,,,,,Unknown,Unknown,Private Citizens & Property,,,Sub-Saharan Africa,Hostage Taking (Kidnapping),,,Firearms,,,
201412310090,2014-12-31,"Mali","Tessalit","Ansar al-Dine (Mali)",1,,,,,0,0,Government (Diplomatic),,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310089,2014-12-31,"Nigeria","Kantoma","Fulani Militants",1,,,,,2,0,Private Citizens & Property,,,Sub-Saharan Africa,Hostage Taking (Kidnapping),Armed Assault,,Firearms,Melee,,
201412310088,2014-12-31,"Nigeria","Gombe","Unknown",0,,,,,1,0,Military,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310087,2014-12-31,"Nigeria","Maiduwa","Boko Haram",1,,,,,6,2,Unknown,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310080,2014-12-31,"Pakistan","Loralai district","Unknown",0,,,,,0,Unknown,NGO,,,South Asia,Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack,Incendiary,Melee,,
201412310078,2014-12-31,"Pakistan","Quetta","Unknown",0,,,,,0,2,Police,,,South Asia,Armed Assault,,,Firearms,,,
201412310073,2014-12-31,"Iraq","Qayyarah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,0,Transportation,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310072,2014-12-31,"Iraq","Tal Afar","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310071,2014-12-31,"Iraq","Tarmiyah","Unknown",0,,,,,1,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
201412310070,2014-12-31,"Iraq","Baghdad","Unknown",0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310069,2014-12-31,"Iraq","Baghdad","Unknown",0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310068,2014-12-31,"Iraq","Baghdad","Unknown",0,,,,,1,4,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310067,2014-12-31,"Iraq","Fallujah district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,20,Unknown,Military,,,Middle East & North Africa,Unknown,,,Unknown,,,
201412310066,2014-12-31,"India","Chandel district","People's Liberation Army (India)",0,,,,,0,0,Military,,,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
201412310064,2014-12-31,"Egypt","Helwan","Unknown",0,,,,,0,1,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310062,2014-12-31,"Afghanistan","Ghazni","Taliban",0,,,,,0,2,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310061,2014-12-31,"Afghanistan","Tarin Kot","Unknown",0,,,,,0,2,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310060,2014-12-31,"Afghanistan","Surkh Rod district","Taliban",0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310059,2014-12-31,"Afghanistan","Bati Kot district","Taliban",0,,,,,5,14,Government (General),,,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
201412310058,2014-12-31,"Afghanistan","Urgun district","Haqqani Network",0,,,,,1,0,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310057,2014-12-31,"Afghanistan","Tani district","Unknown",0,,,,,1,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310056,2014-12-31,"Iraq","Unknown","Islamic State of Iraq and the Levant (ISIL)",0,,,,,Unknown,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
201412310048,2014-12-31,"Iraq","Hadithah district","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310047,2014-12-31,"Iraq","Hadithah district","Unknown",0,,,,,0,0,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310046,2014-12-31,"Iraq","Madain","Unknown",0,,,,,0,8,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310045,2014-12-31,"Iraq","Taji","Unknown",0,,,,,1,5,Military,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310043,2014-12-31,"Somalia","Galkayo","Al-Shabaab",0,,,,,0,2,Journalists & Media,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310042,2014-12-31,"Yemen","Ibb","Unknown",0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201412310041,2014-12-31,"Yemen","Mukalla","Unknown",0,,,,,1,0,Private Citizens & Property,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
201412310040,2014-12-31,"Yemen","Ataq","Unknown",0,,,,,1,0,Police,,,Middle East & North Africa,Assassination,,,Firearms,,,
201412310039,2014-12-31,"Yemen","Dali","Southern Mobility Movement (Yemen)",0,,,,,0,0,Military,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
