GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201512300042,2015-12-30,"Libya","Nawfaliyah","Tripoli Province of the Islamic State",0,,,,,1,2,Government (General),,,Middle East & North Africa,Hostage Taking (Kidnapping),Armed Assault,,Firearms,,,
201512300041,2015-12-30,"Democratic Republic of the Congo","Kalehe","Nyatura Militia",0,,,,,Unknown,Unknown,Military,,,Sub-Saharan Africa,Unknown,,,Unknown,,,
201512300037,2015-12-30,"Afghanistan","Unknown","Unknown",0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300036,2015-12-30,"Afghanistan","Unknown","Unknown",0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300034,2015-12-30,"Egypt","Giza","Sinai Province of the Islamic State",0,,,,,0,0,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300027,2015-12-30,"Bangladesh","Madhabdi district","Unknown",0,,,,,0,0,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300026,2015-12-30,"Bangladesh","Madhabdi district","Unknown",0,,,,,0,0,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300025,2015-12-30,"Bangladesh","Madhabdi district","Unknown",0,,,,,0,1,Government (General),,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300024,2015-12-30,"Afghanistan","Unknown","Unknown",0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300023,2015-12-30,"Afghanistan","Unknown","Unknown",0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201512300022,2015-12-30,"Iraq","Al-Sherka","Islamic State of Iraq and the Levant (ISIL)",0,,,,,40,Unknown,Private Citizens & Property,,,Middle East & North Africa,Armed Assault,,,Unknown,,,
201512300020,2015-12-30,"Iraq","Samarra district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,12,Unknown,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
201512300018,2015-12-30,"Somalia","Unknown","Al-Shabaab",0,,,,,0,0,Other,,,Sub-Saharan Africa,Hijacking,,,Firearms,,,
201512300017,2015-11-30,"United Kingdom","Belfast","Unknown",0,,,,,0,2,Business,,,Western Europe,Armed Assault,,,Firearms,,,
201512300016,2015-12-30,"India","Zhutovi","National Socialist Council of Nagaland-Khaplang (NSCN-K)",0,,,,,1,0,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
